name	surname	firstname	midname	gender	ethnics	age	birthday	department	depjoindate	position	rank	rankdate	rankage
МГЕЛАДЗЕ МИХАИЛ МИХАЙЛОВИЧ	Мгеладзе	Михаил	Михайлович	m	slav,geor	64	02.04.1948	ПОСОЛЬСТВО РОССИИ В МЬЯНМЕ	11.10.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.05.2012	64
МЕРЗЛЯКОВ ЮРИЙ НИКОЛАЕВИЧ	Мерзляков	Юрий	Николаевич	m	slav	63	09.04.1949	ПОСОЛЬСТВО РОССИИ В ЭСТОНИИ 	14.07.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.04.2000	51
МЕШКОВ АЛЕКСЕЙ ЮРЬЕВИЧ 	Мешков	Алексей	Юрьевич	m	slav	53	22.08.1959	ПОСОЛЬСТВО РОССИИ В ИТАЛИИ 	11.02.2004	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.12.2004	45
МИТРОФАНОВА ЭЛЕОНОРА ВАЛЕНТИНОВНА	Митрофанова	Элеонора	Валентиновна	f	slav	59	11.06.1953	ПОСТПРЕДСТВО РОССИИ ПРИ ЮНЕСКО В ПАРИЖЕ, ФРАНЦИЯ   	28.01.2009	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	09.02.2010	56
МИХАЙЛОВ ЕВГЕНИЙ НИКОЛАЕВИЧ	Михайлов	Евгений	Николаевич	m	slav	66	18.01.1947	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	18.01.2007	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.07.1994	47
МОИСЕЕВ ЛЕОНИД ПЕТРОВИЧ	Моисеев	Леонид	Петрович	m	slav	65	16.01.1948	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	16.01.2008	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.08.2004	56
МОРГУЛОВ ИГОРЬ ВЛАДИМИРОВИЧ	Моргулов	Игорь	Владимирович	m	slav	51	04.05.1961	РУКОВОДСТВО	22.11.2011	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.05.2012	50
МОРОЗОВ ВАЛЕРИЙ ИВАНОВИЧ	Морозов	Валерий	Иванович	m	slav	67	19.09.1945	ПОСОЛЬСТВО РОССИИ В МЕКСИКЕ 	09.08.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.04.2002	56
МОРОЗОВ ВЛАДИМИР НИКОЛАЕВИЧ	Морозов	Владимир	Николаевич	m	slav	63	25.08.1949	ПОСОЛЬСТВО РОССИИ В АВСТРАЛИИ 	29.06.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.11.2007	58
МУХАМЕТШИН ФАРИТ МУБАРАКШЕВИЧ	Мухаметшин	Фарит	Мубаракшевич	m	arab	0	None	ПОСОЛЬСТВО РОССИИ В МОЛДАВИИ	05.04.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ	ПОСОЛ	0
НЕВЕРОВ ИГОРЬ СВЯТОСЛАВОВИЧ	Неверов	Игорь	Святославович	m	slav	56	20.06.1956	ПОСОЛЬСТВО РОССИИ В ШВЕЦИИ 	04.09.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.07.2008	52
НЕНАШЕВ СЕРГЕЙ ВАСИЛЬЕВИЧ	Ненашев	Сергей	Васильевич	m	slav	65	24.03.1947	ПОСОЛЬСТВО РОССИИ В АНГОЛЕ 	20.10.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	09.02.2010	62
НЕСТЕРЕНКО АНДРЕЙ АЛЕКСЕЕВИЧ	Нестеренко	Андрей	Алексеевич	m	slav	57	03.05.1955	ПОСОЛЬСТВО РОССИИ В ЧЕРНОГОРИИ 	30.03.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	15.07.2005	50
НЕСТЕРУШКИН ВАЛЕРИЙ МИХАЙЛОВИЧ	Нестерушкин	Валерий	Михайлович	m	slav	63	28.04.1949	ПОСОЛЬСТВО РОССИИ В СЕНЕГАЛЕ 	19.04.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.07.2009	60
НЕЧАЕВ СЕРГЕЙ ЮРЬЕВИЧ 	Нечаев	Сергей	Юрьевич	m	slav	59	02.06.1953			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2012	58
ОБУХОВ АЛЕКСЕЙ АЛЕКСАНДРОВИЧ	Обухов	Алексей	Александрович	m	slav	75	12.11.1937	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 	01.08.2007	ЭКСПЕРТ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.02.1985	47
ОРЛОВ АЛЕКСАНДР КОНСТАНТИНОВИЧ	Орлов	Александр	Константинович	m	slav	64	17.03.1948	ПОСОЛЬСТВО РОССИИ ВО ФРАНЦИИ 	14.10.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.07.2005	57
ОРЛОВ  ВАЛЕРИЙ ЯКОВЛЕВИЧ	Орлов	Валерий	Яковлевич	m	slav	65	26.07.1947	ПОСОЛЬСТВО РОССИИ В ДЖИБУТИ 	20.01.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	04.11.2011	64
ОРЛОВЕЦ МИХАИЛ ИВАНОВИЧ	Орловец	Михаил	Иванович	m	slav	62	08.06.1950	ПОСОЛЬСТВО РОССИИ В ЧИЛИ 	26.07.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	11.02.2008	57
ОСАДЧИЙ СТАНИСЛАВ ВИЛИОРОВИЧ	Осадчий	Станислав	Вилиорович	m	slav	62	26.01.1951	ДЕПАРТАМЕНТ БЕЗОПАСНОСТИ 	27.01.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.07.2004	53
ПАВЛОВСКИЙ ВЯЧЕСЛАВ АЛЬФРЕДОВИЧ	Павловский	Вячеслав	Альфредович	m	slav	56	30.08.1956	ПОСОЛЬСТВО РОССИИ В НОРВЕГИИ 	20.07.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.10.2008	52
ПЕТРОВСКИЙ ПАВЕЛ ФЕДОРОВИЧ	Петровский	Павел	Федорович	m	slav	65	02.07.1947	ПОСОЛЬСТВО РОССИИ В ПОРТУГАЛИИ 	26.05.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.04.2002	54
ПЕШКОВ МАКСИМ АЛЕКСАНДРОВИЧ	Пешков	Максим	Александрович	m	slav	62	30.06.1950			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.03.2005	54
ПОПОВ ЮРИЙ ФЕДОРОВИЧ	Попов	Юрий	Федорович	m	slav	58	25.06.1954	ПОСОЛЬСТВО РОССИИ В ТАДЖИКИСТАНЕ 	06.03.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	22.03.2011	56
ПРЫГИН ВЛАДИМИР ИВАНОВИЧ 	Прыгин	Владимир	Иванович	m	slav	65	13.01.1948			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.05.2012	64
РАЗОВ СЕРГЕЙ СЕРГЕЕВИЧ	Разов	Сергей	Сергеевич	m	slav	60	28.01.1953	ПОСОЛЬСТВО РОССИИ В КНР 	19.08.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.1992	38
РАМИШВИЛИ ТЕЙМУРАЗ ОТАРОВИЧ	Рамишвили	Теймураз	Отарович	m	geor	57	04.05.1955	ПОСОЛЬСТВО РОССИИ В ДАНИИ 	02.11.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.01.2004	48
РАННИХ АЛЕКСАНДР АЛЕКСАНДРОВИЧ	Ранних	Александр	Александрович	m	slav	63	25.07.1949	ПОСОЛЬСТВО РОССИИ В ТАНЗАНИИ 	27.08.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.08.1992	43
РОЖКОВ АНДРЕЙ НИКОЛАЕВИЧ	Рожков	Андрей	Николаевич	m	slav	68	05.11.1944	ПОСОЛЬСТВО РОССИИ В СИНГАПУРЕ 	26.06.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	23.04.2008	63
РОМАНОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ	Романов	Александр	Александрович	m	slav	62	29.11.1950	ПОСОЛЬСТВО РОССИИ В БЕЛЬГИИ 	19.11.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	11.02.2008	57
РОМАНОВ ЮРИЙ АЛЕКСАНДРОВИЧ	Романов	Юрий	Александрович	m	slav	57	13.12.1945			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2012	0
РУМЯНЦЕВ АЛЕКСАНДР ЮРЬЕВИЧ	Румянцев	Александр	Юрьевич	m	slav	67	26.07.1945	ПОСОЛЬСТВО РОССИИ В ФИНЛЯНДИИ 	24.05.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	23.04.2008	62
РЯБКОВ СЕРГЕЙ АЛЕКСЕЕВИЧ	Рябков	Сергей	Алексеевич	m	slav	52	08.07.1960	 РУКОВОДСТВО 	15.08.2008	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	04.03.2009	48
САДОВНИКОВ АЛЕКСАНДР АЛЕКСЕЕВИЧ	Садовников	Александр	Алексеевич	m	slav	64	29.10.1948	None	None		ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.08.2007	58
САДЧИКОВ НИКОЛАЙ ИВАНОВИЧ	Садчиков	Николай	Иванович	m	slav	66	20.03.1946	ПОСОЛЬСТВО РОССИИ В ВАТИКАНЕ 	26.08.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	20.09.2003	57
САМОЙЛЕНКО ВИКТОР ВАСИЛЬЕВИЧ	Самойленко	Виктор	Васильевич	m	slav	65	02.03.1947	ПОСОЛЬСТВО РОССИИ В МОНГОЛИИ 	21.09.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.10.2010	63
СЕРАФИМОВ ВАДИМ ВИКТОРОВИЧ	Серафимов	Вадим	Викторович	m	slav	63	29.08.1949	ТРЕТИЙ ДЕПАРТАМЕНТ АЗИИ 	08.02.2010	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	18.08.2006	56
СОЛОЦИНСКИЙ ВЛАДИМИР ДМИТРИЕВИЧ	Солоцинский	Владимир	Дмитриевич	m	slav	64	25.09.1948	РОТАЦИОННЫЙ РЕЗЕРВ 	16.05.2011	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	17.12.2008	60
СУРИКОВ АЛЕКСАНДР АЛЕКСАНДРОВИЧ	Суриков	Александр	Александрович	m	slav	72	15.08.1940	ПОСОЛЬСТВО РОССИИ В БЕЛОРУССИИ 	28.02.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.04.2010	69
СУХИНИН ВАЛЕРИЙ ЕВГЕНЬЕВИЧ	Сухинин	Валерий	Евгеньевич	m	slav	63	16.01.1950	ПОСОЛЬСТВО РОССИИ В КНДР 	02.02.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.10.2010	60
ТАРАСОВ ГЕННАДИЙ ПАВЛОВИЧ	Тарасов	Геннадий	Павлович	m	slav	65	14.09.1947	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	15.09.2008	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.01.1993	45
ТАТАРИНОВ АНДРЕЙ АЛЕКСЕЕВИЧ	Татаринов	Андрей	Алексеевич	m	slav	62	01.01.1951	ПОСОЛЬСТВО РОССИИ В НОВОЙ ЗЕЛАНДИИ 	11.09.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	09.02.2010	59
ТАТАРИНЦЕВ ВИКТОР  ИВАНОВИЧ	Татаринцев	Виктор	Иванович	m	slav	58	23.10.1954			ДИРЕКТОР ДЕПАРТАМЕННТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	16.07.2012	57
ТИТОВ ВЛАДИМИР ГЕННАДИЕВИЧ	Титов	Владимир	Геннадиевич	m	slav	54	28.07.1958	 РУКОВОДСТВО 	19.10.2005	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2004	45
ТИТОРЕНКО ВЛАДИМИР ЕФИМОВИЧ 	Титоренко	Владимир	Ефимович	m	slav	54	06.08.1958	None	None	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	12.02.2012	53
ТОКОВИНИН АЛЕКСАНДР АВРЕЛЬЕВИЧ	Токовинин	Александр	Аврельевич	m	slav	56	12.10.1956	ДЕПАРТАМЕНТ ВНЕШНЕПОЛИТИЧЕСКОГО ПЛАНИРОВАНИЯ 	01.06.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	30.07.2012	55
ТОЛКАЧ АЛЕКСАНДР АЛЕКСАНДРОВИЧ	Толкач	Александр	Александрович	m	slav	64	15.10.1948	ПОСОЛЬСТВО РОССИИ В ВЕНГРИИ 	23.09.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.12.2004	56
ТРЕТЬЯКОВ СЕРГЕЙ МИХАЙЛОВИЧ	Третьяков	Сергей	Михайлович	m	slav	62	22.11.1950	ПЕРВЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 	23.11.2010	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.10.1993	42
ТЮРДЕНЕВ ВЛАДИМИР ЛЬВОВИЧ	Тюрденев	Владимир	Львович	m	slav	63	22.04.1949	ПОСОЛЬСТВО РОССИИ В УЗБЕКИСТАНЕ 	23.11.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	18.07.1995	46
УДАЛЬЦОВ АЛЕКСАНДР ИВАНОВИЧ	Удальцов	Александр	Иванович	m	slav	61	05.07.1951	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	06.07.2011	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2004	52
ФАЗЕЛЬЯНОВ ЭНВАРБИК МИХАЙЛОВИЧ	Фазельянов	Энварбик	Михайлович	m	slav	63	17.12.1949	ПОСОЛЬСТВО РОССИИ В СУДАНЕ 	29.08.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.11.2012	62
ФЕДОТОВ АЛЕКСЕЙ ЛЕОНИДОВИЧ	Федотов	Алексей	Леонидович	m	slav	63	29.06.1949	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	12.06.2011	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	04.10.2001	52
ХАКИМОВ БАХТИЕР МАРУФОВИЧ	Хакимов	Бахтиер	Маруфович	m	arab	62	19.07.1950	ДЕП. АЗИАТ.И ТИХООКЕАН. СОТРУДНИЧЕСТВА 	20.07.2010	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.07.1998	48
ЦЕПОВ БОРИС АНАТОЛЬЕВИЧ	Цепов	Борис	Анатольевич	m	slav	64	13.06.1948	ДЕП. ЛИНГВИСТИЧЕСКОГО ОБЕСПЕЧЕНИЯ 	14.06.2009	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	19.09.2000	52
ЧИЖОВ ВЛАДИМИР АЛЕКСЕЕВИЧ	Чижов	Владимир	Алексеевич	m	slav	59	03.12.1953	ПОСТПРЕДСТВО РОССИИ ПРИ ЕС И ЕВРАТОМ 	15.07.2005	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.2000	46
ЧУРИЛИН АЛЕКСАНДР АНАТОЛЬЕВИЧ	Чурилин	Александр	Анатольевич	m	slav	66	26.10.1946	ПОСОЛЬСТВО РОССИИ В РУМЫНИИ 	09.08.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.09.2010	63
ЧУРКИН ВИТАЛИЙ ИВАНОВИЧ	Чуркин	Виталий	Иванович	m	slav	61	21.02.1952	ПОСТПРЕДСТВО РОССИИ ПРИ ООН, США 	30.04.2006	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.12.1990	38
ЧХИКВАДЗЕ ВЛАДИМИР ВИКТОРОВИЧ	Чхиквадзе	Владимир	Викторович	m	slav,geor	67	28.12.1945	ПОСОЛЬСТВО РОССИИ В ЛИТВЕ 	05.05.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	21.01.2003	57
ЧХИКВИШВИЛИ ВЛАДИМИР ИРАКЛИЕВИЧ	Чхиквишвили	Владимир	Ираклиевич	m	slav,geor	64	15.05.1948	ПОСОЛЬСТВО РОССИИ В ГРЕЦИИ 	24.12.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	27.04.2001	52
ШЕИН АЛЕКСАНДР ПЕТРОВИЧ	Шеин	Александр	Петрович	m	slav	60	19.03.1952			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.02.2012	59
ШИШКИН СЕРГЕЙ НИКОЛАЕВИЧ	Шишкин	Сергей	Николаевич	m	slav	63	15.02.1950	ПОСОЛЬСТВО РОССИИ В УГАНДЕ 	14.10.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	30.07.2012	62
ШМАГИН ЕВГЕНИЙ АЛЕКСЕЕВИЧ	Шмагин	Евгений	Алексеевич	m	slav	63	30.12.1949	ГЕНКОНСУЛЬСТВО РОССИИ В БОННЕ, ФРГ 	08.06.2010	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.11.2005	55
ШУВАЕВ ВАЛЕРЬЯН ВЛАДИМИРОВИЧ	Шуваев	Валерьян	Владимирович	m	slav	57	16.03.1955	ПОСОЛЬСТВО РОССИИ В ИРАКЕ 	16.10.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	21.05.2010	55
ШУВАЛОВ КОНСТАНТИН ВИКТОРОВИЧ	Шувалов	Константин	Викторович	m	slav	59	12.12.1953	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	14.09.2009	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	02.07.2003	49
ШУЛЬГИН АЛЕКСАНДР ВАСИЛЬЕВИЧ	Шульгин	Александр	Васильевич	m	slav	61	29.03.1951	ПОСОЛЬСТВО РОССИИ В ЛЮКСЕМБУРГЕ 	30.10.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.03.2007	55
ШУМСКИЙ ВЯЧЕСЛАВ ДМИТРИЕВИЧ	Шумский	Вячеслав	Дмитриевич	m	slav	62	27.08.1950	ПОСОЛЬСТВО РОССИИ НА КИПРЕ 	11.09.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	09.02.2010	59
ЩЕРБАК ИГОРЬ НИКОЛАЕВИЧ	Щербак	Игорь	Николаевич	m	slav	65	12.05.1947	ДЕПАРТАМЕНТ МЕЖДУНАРОДНЫХ ОРГАНИЗАЦИЙ 	04.05.2010	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	16.07.2009	62
ЩЕРБАК ОЛЕГ НИКОЛАЕВИЧ	Щербак	Олег	Николаевич	m	slav	62	12.04.1950	ПОСОЛЬСТВО РОССИИ В МАКЕДОНИИ 	17.11.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	01.06.2009	59
ЯКОВЕНКО АЛЕКСАНДР ВЛАДИМИРОВИЧ	Яковенко	Александр	Владимирович	m	slav	58	21.10.1954	ПОСОЛЬСТВО РОССИИ В ВЕЛИКОБРИТАНИИ 	24.01.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.07.2004	49
ЯКОВЛЕВ СЕРГЕЙ ЯКОВЛЕВИЧ	Яковлев	Сергей	Яковлевич	m	slav	65	24.01.1948	ПОСОЛЬСТВО РОССИИ В ИЗРАИЛЕ 	08.07.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.11.2007	59
АБРАМОВ ЛЕОНИД ГРИГОРЬЕВИЧ	Абрамов	Леонид	Григорьевич	m	slav,jew	58	05.08.1954			ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	10.02.2012	57
АВЕТИСЯН АНДРЕЙ ЛЕВОНОВИЧ	Аветисян	Андрей	Левонович	m	slav,arm	52	19.05.1960	ПОСОЛЬСТВО РОССИИ В АФГАНИСТАНЕ 	21.09.2009	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	13.09.2010	50
АКОПОВ СЕРГЕЙ ПОГОСОВИЧ	Акопов	Сергей	Погосович	m	slav	58	18.06.1954	ПОСОЛЬСТВО РОССИИ В БРАЗИЛИИ 	15.02.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	17.09.2012	58
АНДРЕЕВ АНДРЕЙ ВЛАДИМИРОВИЧ	Андреев	Андрей	Владимирович	m	slav	56	19.09.1956	ПОСОЛЬСТВО РОССИИ В ОБЪЕДИНЕННЫХ АРАБСКИХ ЭМИРАТАХ 	15.07.2005	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	23.04.2008	51
АНТОНОВ ЮРИЙ АЛЕКСАНДРОВИЧ	Антонов	Юрий	Александрович	m	slav	63	10.03.1949	ГЕНКОНСУЛЬСТВО РОССИИ В ОДЕССЕ, УКРАИНА 	17.11.2010	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	12.04.2010	61
АФАНАСЬЕВ МИХАИЛ ЮРЬЕВИЧ	Афанасьев	Михаил	Юрьевич	m	slav	58	30.12.1954	ДЕПАРТАМЕНТ ИНФОРМАЦИОННОГО ОБЕСПЕЧЕНИЯ 	24.11.2010	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	11.02.2008	53
БАВЫКИН АЛЕКСАНДР ЕВГЕНЬЕВИЧ	Бавыкин	Александр	Евгеньевич	m	slav	60	19.10.1952	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	16.03.2009	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 1 КЛАССА	13.09.2010	57
